Query,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
smok infinix,108,157,9797,13746,1.1%,1.14%,9.68,9.05
suorin edge,108,149,7688,6960,1.4%,2.14%,6.9,6.17
vaporizer pen,107,80,6415,6715,1.67%,1.19%,7.01,8.24
smok priv n19,107,60,2372,1889,4.51%,3.18%,6.68,6.72
vape pen starter kit,106,96,4228,4185,2.51%,2.29%,8.33,9.55
best compact vape,106,81,231,178,45.89%,45.51%,1.82,2.02
why does my vape taste burnt,105,148,1190,1031,8.82%,14.35%,1.02,1
rta vape,104,119,3308,3148,3.14%,3.78%,7.85,7.34
better than juul,102,89,256,274,39.84%,32.48%,2.39,2.43
vape shops,101,102,32299,33952,0.31%,0.3%,9.69,8.61
online vape shop,100,54,2972,2534,3.36%,2.13%,12.97,16.18
smok rpm40,99,158,15073,23825,0.66%,0.66%,8.84,8.79
smok nord not charging,99,149,472,545,20.97%,27.34%,1.64,1.04
best vape pods 2020,99,0,278,0,35.61%,0%,1.98,0
vape online,98,54,4343,2739,2.26%,1.97%,11.39,13.7
smok fetch pro,98,20,4158,783,2.36%,2.55%,13.89,15.05
smok novo 2 price,97,62,1393,1105,6.96%,5.61%,4.02,4.7
how to clean vape tank,97,73,648,625,14.97%,11.68%,1.03,2.55
iqos vs vape,96,101,1130,1679,8.5%,6.02%,5.72,6.11
vape shop online,95,58,4212,3122,2.26%,1.86%,13.08,18.84
vape pen brands,95,79,2195,2087,4.33%,3.79%,4.16,4.87
pod 2020,95,0,726,0,13.09%,0%,5.25,0
pod vape systems,95,20,468,128,20.3%,15.62%,2.26,3.06
best pod mod 2019,95,253,399,884,23.81%,28.62%,2.94,2.68
alternatives to juul,95,115,370,472,25.68%,24.36%,1.39,1.32
vapes similar to juul,95,142,353,454,26.91%,31.28%,2.61,1.97
similar to juul,95,112,300,280,31.67%,40%,2.26,1.62
sourin,93,71,13875,12258,0.67%,0.58%,6.46,6.02
rta vs rda,93,147,832,932,11.18%,15.77%,2.55,2.68
twister 80w,93,71,768,733,12.11%,9.69%,3.49,3.7
best fruity vape juice,93,76,630,483,14.76%,15.73%,2.48,2.86
renova zero,92,61,6153,5777,1.5%,1.06%,9.48,9.78
freemax twister kit,91,67,681,724,13.36%,9.25%,4.13,4.28
alternative to juul,91,143,588,689,15.48%,20.75%,2.15,2.64
best pods 2020,91,0,354,0,25.71%,0%,3.35,0
vape pod systems,90,106,769,676,11.7%,15.68%,3.07,2.8
vape juices,89,76,3193,3040,2.79%,2.5%,7.58,8.04
best vape mod 2019,89,280,1493,3039,5.96%,9.21%,6.94,6.55
nic salt mods,89,62,667,667,13.34%,9.3%,4.41,5.56
smok priv v8,88,75,4373,4713,2.01%,1.59%,7.59,7.3
smok nord 2 release date,88,0,870,0,10.11%,0%,6.36,0
smok slim,88,40,708,513,12.43%,7.8%,2.96,3.16
stick v8 vape,88,85,562,555,15.66%,15.32%,3.41,3.38
best pod mods,88,58,318,384,27.67%,15.1%,3.21,4.52
twister 80w kit,88,44,314,171,28.03%,25.73%,2.41,2.72
smok vape price,87,56,2972,2859,2.93%,1.96%,6.65,6.9
smok novo 2 review,87,71,1804,1952,4.82%,3.64%,5.89,6.93
vape coil,86,93,4962,4874,1.73%,1.91%,5.11,4.79
vaporesso podstick,86,39,3241,3057,2.65%,1.28%,8.14,9.32
rpm nord pod,86,94,458,433,18.78%,21.71%,1.69,1.57
nord 2 vs nord,86,0,162,0,53.09%,0%,3.22,0
vaporesso swag,85,41,2187,1996,3.89%,2.05%,11.84,13.36
best mods 2020,85,0,443,0,19.19%,0%,4.92,0
smok vape wont turn on,84,64,616,588,13.64%,10.88%,2.62,3.73
devices like juul,84,70,215,215,39.07%,32.56%,1.79,2.38
products like juul,84,56,164,105,51.22%,53.33%,2.02,1.7
vaping.com login,84,70,90,73,93.33%,95.89%,1,1
refillable pod system,83,39,888,743,9.35%,5.25%,2.98,4.28
best nic salt device 2019,83,47,397,389,20.91%,12.08%,2,2.56
vaping pen,82,61,2138,2021,3.84%,3.02%,3.95,3.8
pod terbaik,82,183,701,3731,11.7%,4.9%,6.98,4.29
novo 2 mesh pods salt nic,82,65,364,237,22.53%,27.43%,1,1.01
new pod 2020,82,22,221,110,37.1%,20%,1.47,3.75
small vape mods,81,104,1902,1879,4.26%,5.53%,6.78,6.06
nic salt devices,81,44,357,308,22.69%,14.29%,2.62,2.84
novo 2 vs novo,81,109,170,179,47.65%,60.89%,1.01,1.09
rda vape,80,103,4386,4376,1.82%,2.35%,7.94,7.49
vape nicotine levels,80,42,1098,1095,7.29%,3.84%,1.03,5.19
voopoo nano,80,80,1093,1143,7.32%,7%,4.6,4.75
best pod mod vape,80,68,282,265,28.37%,25.66%,2.89,2.62
best juul alternatives,80,34,191,163,41.88%,20.86%,2.68,2.93
vaping,79,69,14328,14106,0.55%,0.49%,16.18,21.26
vaporesso degree,79,60,3405,3245,2.32%,1.85%,6.63,5.87
pod terbaik 2019,79,291,1549,3976,5.1%,7.32%,6.11,4.98
twister vape pen,79,49,576,584,13.72%,8.39%,4.1,4.58
pod mod vape,78,61,1208,1240,6.46%,4.92%,4.77,4.44
best salt nic vapes 2020,78,25,231,40,33.77%,62.5%,2.13,1
best pod vape system,78,71,218,139,35.78%,51.08%,2.49,1.45
e juice,77,39,8048,6223,0.96%,0.63%,17.59,18.77
aspire avp pro,77,76,2013,1690,3.83%,4.5%,7.81,7.7
vape coils,76,91,6571,6740,1.16%,1.35%,8.33,7.9
juul like devices,76,90,494,492,15.38%,18.29%,2.42,2.73
novo 2 smok,75,53,1851,1613,4.05%,3.29%,6.59,6.32
best vape pod 2019,75,107,224,351,33.48%,30.48%,2.67,2.62
best salt vape,75,33,142,82,52.82%,40.24%,2.63,1.88
smok stick prince,74,92,5873,9087,1.26%,1.01%,9.27,9.66
salt nic mods,74,48,471,481,15.71%,9.98%,3.36,5.03
best pod mods 2020,74,0,201,0,36.82%,0%,2.32,0
rpm40,73,55,17155,20777,0.43%,0.26%,8.56,8.39
vape buy,73,78,737,809,9.91%,9.64%,6.4,7.57
vape burnt taste,73,62,472,447,15.47%,13.87%,1.38,1.45
best pod device,73,78,217,201,33.64%,38.81%,1.22,1.3
suorin vape,71,75,6246,5420,1.14%,1.38%,7.83,7.17
vaporesso tarot baby,71,108,1926,2183,3.69%,4.95%,7.83,7.51
vape mods 2020,71,0,360,0,19.72%,0%,4.14,0
vaoe,70,66,3405,3401,2.06%,1.94%,6.27,6.89
refillable pod vape,70,104,807,737,8.67%,14.11%,5.65,6.43
smok novo wont charge,70,20,324,317,21.6%,6.31%,1.75,4.71
best pod system vapes,70,108,199,256,35.18%,42.19%,1.4,1.08
e cigs like juul,70,48,121,108,57.85%,44.44%,2.03,1.88
best pods 2019,69,67,437,616,15.79%,10.88%,3.07,2.92
new vape mods 2020,69,0,345,0,20%,0%,3.05,0
smok vape not working,69,74,240,214,28.75%,34.58%,2.48,2.56
smok vapes,68,69,9175,8322,0.74%,0.83%,8.18,8.31
uwell crown pod,68,37,6868,4559,0.99%,0.81%,9.51,9.75
best vape tank 2019,68,113,848,1659,8.02%,6.81%,4.27,6.84
caliburn,67,29,47263,34520,0.14%,0.08%,6.49,5.99
lost vape,67,83,10494,9876,0.64%,0.84%,8.11,7.88
menthol vape juice,67,50,2612,2403,2.57%,2.08%,8.44,9.14
top pod vape,67,75,158,201,42.41%,37.31%,2.49,2.53
ohms too low smok,66,56,299,252,22.07%,22.22%,1.59,2.26
juul knockoff,66,47,207,193,31.88%,24.35%,2.22,1.87
stick vape,65,23,3284,3546,1.98%,0.65%,2.51,1.82
vaping shop,65,75,1111,1656,5.85%,4.53%,7.48,9
pod vape terbaik,65,156,619,2307,10.5%,6.76%,5.64,7.79
best small vape mod,65,73,611,607,10.64%,12.03%,5.86,5.26
best mtl pod,65,65,372,355,17.47%,18.31%,4.64,5.43
ohm too high smok,65,76,260,253,25%,30.04%,1.62,1.68
the best pod,65,66,188,201,34.57%,32.84%,1.62,1.7
pod mod,64,61,5419,4956,1.18%,1.23%,8.01,7.88
caliburn vape,64,44,3087,3496,2.07%,1.26%,10.07,9.39
smok al85,64,63,2816,3341,2.27%,1.89%,10.98,11.04
mtl vaping,64,46,1271,1249,5.04%,3.68%,3.63,4.33
ohm too high,64,67,342,398,18.71%,16.83%,2.56,3.16
vape like juul,64,58,250,280,25.6%,20.71%,2.08,2.77
top pod system,64,41,173,120,36.99%,34.17%,2.26,3.01
vaping. com,64,105,78,114,82.05%,92.11%,1,1
vaping.com reviews,63,75,306,383,20.59%,19.58%,1.71,2.26
smok rpm40 wont turn on,63,31,231,133,27.27%,23.31%,2.78,4.54
pen vapes,62,35,995,889,6.23%,3.94%,3.33,3.45
best box mods 2020,62,0,494,0,12.55%,0%,5.69,0
freemax twister 80w starter kit,62,29,286,231,21.68%,12.55%,4,4.71
best pod systems 2019,62,70,185,340,33.51%,20.59%,2.85,2.42
best pod for salt nic,62,33,160,128,38.75%,25.78%,3.28,3.09
smok nord 2 vs nord,62,0,154,0,40.26%,0%,3.43,0
vape liquid,61,79,6767,7665,0.9%,1.03%,14.1,13.1
sourin drop,61,50,4087,3569,1.49%,1.4%,7.75,7.21
pod mods,61,40,1332,1019,4.58%,3.93%,4.44,4.33
vaping store,61,41,1030,1030,5.92%,3.98%,6.41,6.48
best vape tank for flavor,61,44,634,619,9.62%,7.11%,3.4,6.55
uwell yearn,60,38,1968,1430,3.05%,2.66%,10.3,10.51
smok novo not charging,60,115,593,624,10.12%,18.43%,3.39,2.59
suorin air plus cartridge,60,18,504,538,11.9%,3.35%,6.33,7.66
small vape device,60,18,291,121,20.62%,14.88%,2.4,2.83
best vapes for salt nic,60,47,191,167,31.41%,28.14%,2.16,2.55
smok nord vs smok nord 2,60,0,126,0,47.62%,0%,3.79,0
best fruit vape juice,59,44,245,179,24.08%,24.58%,3.31,3.7
best mtl pod vape,59,41,179,139,32.96%,29.5%,1.15,2.59
mod vape,58,35,5888,5661,0.99%,0.62%,9.18,9.61
suorin air plus pod,58,40,1861,1348,3.12%,2.97%,8.97,10.23
nord 2 release date,58,0,348,0,16.67%,0%,3.9,0
how to start vaping,58,86,294,328,19.73%,26.22%,3.34,2.1
tear drop vape,58,48,257,230,22.57%,20.87%,1.02,1
smok nord wont hit,58,0,193,0,30.05%,0%,1.23,0
best pods vape,58,98,180,253,32.22%,38.74%,1.75,1.82
smok vape not charging,58,71,152,182,38.16%,39.01%,1.72,2.12
vape pens for sale,57,78,2382,3169,2.39%,2.46%,9.69,9.73
juul replacement,57,54,1142,1178,4.99%,4.58%,9.45,10.4
freemax twister vape,57,42,452,388,12.61%,10.82%,3.87,4.8
ohm too low,57,44,380,330,15%,13.33%,3.26,4.64
off brand juul,57,42,216,219,26.39%,19.18%,1.45,2.18
best pod kit,57,67,134,143,42.54%,46.85%,1.43,1.91
vape .com,57,42,111,81,51.35%,51.85%,2.17,2.05
novo 1,56,0,1442,0,3.88%,0%,7.47,0
vape.,56,52,1441,1432,3.89%,3.63%,5.55,5.74
best cheap vape,56,57,820,789,6.83%,7.22%,5.98,7.4
buy vape pen,56,45,632,1110,8.86%,4.05%,3.84,4.39
best salt nic device 2020,56,21,153,50,36.6%,42%,2.35,2.1
vape stick,55,61,5530,5374,0.99%,1.14%,1.81,2.3
smok infinix pods,55,109,1552,2435,3.54%,4.48%,7.29,5.42
smok novo2,55,60,1182,1048,4.65%,5.73%,5.92,5.46
top salt nic flavors 2019 malaysia,55,72,244,419,22.54%,17.18%,1.77,3.02
top vape pods,55,40,98,77,56.12%,51.95%,1.15,1.49
top vape brands,54,23,899,1011,6.01%,2.27%,4.53,7.19
vaping pods,54,73,717,757,7.53%,9.64%,2.82,2.64
vap pens,54,48,615,575,8.78%,8.35%,2.68,3.15
twister freemax,54,43,530,505,10.19%,8.51%,4.16,3.93
smok novo 2 pod,54,41,492,470,10.98%,8.72%,5.65,6.38
best refillable vapes,54,52,129,96,41.86%,54.17%,1.02,1
coil vape,53,63,4730,4426,1.12%,1.42%,6.66,5.87
smok rpm40 problems,53,20,325,123,16.31%,16.26%,4.74,6.2
best flavour pod,53,73,162,204,32.72%,35.78%,1.22,1.49
smok nova,52,72,1831,2295,2.84%,3.14%,5.74,4.13
what is mtl vaping,52,64,980,950,5.31%,6.74%,2.59,2.21
smok novo 2 replacement pods,52,32,508,396,10.24%,8.08%,4.49,7.43
smok slm pods,52,44,339,273,15.34%,16.12%,2.63,3.29
novo 2 charge time,52,37,183,140,28.42%,26.43%,1.03,1.04
nord,51,58,42043,34913,0.12%,0.17%,8.78,8.46
rba coil,51,82,1359,1482,3.75%,5.53%,5.46,5.51
why does my vape taste burnt with new coil,51,45,766,639,6.66%,7.04%,1.13,1.09
best cheap vapes,51,43,702,546,7.26%,7.88%,5.95,7.27
vape pod price,51,33,369,359,13.82%,9.19%,2.78,3.98
how to clean vape,51,52,343,365,14.87%,14.25%,1.06,2.52
smok nord burnt taste,51,45,171,229,29.82%,19.65%,1.14,2.33
difference between rpm and nord coils,51,28,166,68,30.72%,41.18%,1.07,1
best vape for salt nic,51,30,161,123,31.68%,24.39%,2.35,2.37
best refillable pod vape 2020,51,19,143,47,35.66%,40.43%,1.15,1.72
smok novo 1 vs 2,51,40,143,129,35.66%,31.01%,2.1,2.3
vape usa,50,29,1808,1559,2.77%,1.86%,6.73,8.41
novo 2 mesh pod,50,26,569,487,8.79%,5.34%,4.62,5.16
new coil tastes burnt,50,22,458,295,10.92%,7.46%,1.5,2.31
novo vs novo 2,50,82,442,419,11.31%,19.57%,1.16,1.31
best juul alternative 2019,50,37,438,612,11.42%,6.05%,1.04,2.94
best mtl pod system,50,18,236,194,21.19%,9.28%,4.67,6.88
best vape pods 2019,50,91,192,381,26.04%,23.88%,3.01,3.07
novo 1 vs novo 2,50,54,156,177,32.05%,30.51%,1.9,2.53
my smok nord won't hit,50,0,146,0,34.25%,0%,1.14,0
vaporesso target pm80,49,74,3332,5441,1.47%,1.36%,9.91,8.4
voopoo drag 2 platinum,49,83,1896,2258,2.58%,3.68%,7.16,6.54
suorin air plus pods,49,0,1308,0,3.75%,0%,9.53,0
vape mods kits,49,53,1149,979,4.26%,5.41%,8.39,8.48
best vape kit 2020,49,22,432,103,11.34%,21.36%,5.89,7.14
vaping.con,49,46,57,57,85.96%,80.7%,1,1
smok alien 220w,48,40,3113,3564,1.54%,1.12%,11.43,13.01
rda tank,48,45,2102,2142,2.28%,2.1%,7.39,7.82
vaping pens,48,24,1585,1448,3.03%,1.66%,5.46,7.98
vape juice nicotine levels,48,38,510,677,9.41%,5.61%,1.04,4.49
smok ohm too high,48,56,126,136,38.1%,41.18%,1.05,1.08
best salt nic pod system,48,33,112,89,42.86%,37.08%,2.1,2.27
top 10 pod systems,48,37,77,77,62.34%,48.05%,1.44,1.6
does vape juice expire,47,0,3109,0,1.51%,0%,1.62,0
voopoo too,47,31,1905,1908,2.47%,1.62%,7.96,6.78
smok pod system,47,22,1754,1737,2.68%,1.27%,2.5,3.93
morph 219 kit,47,46,911,896,5.16%,5.13%,5.42,5.19
ohms too low,47,38,713,625,6.59%,6.08%,4.2,5.48
rda meaning vape,47,75,694,846,6.77%,8.87%,1.01,1
refillable vape,47,29,614,267,7.65%,10.86%,7.36,7.53
new pod,47,57,502,479,9.36%,11.9%,1.91,2.34
vape devices like juul,47,29,180,113,26.11%,25.66%,1.75,3.01
smok novo 2 wattage,47,0,153,0,30.72%,0%,1.67,0
the best pod 2020,47,0,131,0,35.88%,0%,1.93,0
best pod for flavor,47,62,101,120,46.53%,51.67%,1.09,1.27
nord smok,46,51,7493,7877,0.61%,0.65%,7.85,8.1
stealth vape,46,44,3660,3676,1.26%,1.2%,4.1,3.82
wismec r80,46,0,3137,0,1.47%,0%,10.88,0
smok novo price,46,40,2064,1913,2.23%,2.09%,5.64,5.55
